City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,50.52,50,75,5.75,broken clouds
80,Saskylakh,RU,71.9167,114.0833,27.14,89,100,14.0,overcast clouds
81,Pecos,US,31.4229,-103.4932,82.31,12,0,5.75,clear sky
82,Kutum,SD,14.2,24.6667,75.43,20,20,15.75,few clouds
83,Camacha,PT,33.0833,-16.3333,60.22,77,40,8.05,scattered clouds
84,Jumla,NP,29.2747,82.1838,56.98,77,82,1.92,broken clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,73.17,94,100,6.17,overcast clouds
86,Victoria,HK,22.2855,114.1577,81.25,74,8,11.01,clear sky
87,Yantal,RU,56.8471,105.2542,47.8,34,100,8.43,overcast clouds
88,Lagoa,PT,39.05,-27.9833,61.92,86,100,29.24,light rain
89,Gambela,ET,8.25,34.5833,72.66,84,95,3.58,overcast clouds
90,Gua Musang,MY,4.8823,101.9644,82.42,83,100,1.34,overcast clouds
91,Poso,ID,-1.3959,120.7524,86.38,67,94,2.91,overcast clouds
92,Jamestown,US,42.097,-79.2353,56.84,58,0,9.22,clear sky
93,Talnakh,RU,69.4865,88.3972,13.21,89,99,13.4,light snow
94,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,0,28.77,clear sky
95,Ossora,RU,59.2353,163.0719,32.0,93,100,4.61,overcast clouds
96,Hondo,JP,32.45,130.2,64.56,88,100,10.11,overcast clouds
97,Torbay,CA,47.6666,-52.7314,41.76,95,100,10.36,moderate rain
98,Marystown,CA,47.1666,-55.1483,41.86,100,100,3.06,overcast clouds
99,Manzhouli,CN,49.6,117.4333,44.31,18,3,19.95,clear sky
100,Lazaro Cardenas,MX,17.9583,-102.2,76.75,80,35,5.73,scattered clouds
101,Dharchula,IN,29.85,80.5333,70.7,59,34,1.05,scattered clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,100,17.27,light snow
103,Albion,US,42.2431,-84.753,50.18,94,100,5.75,light intensity drizzle
104,Chuy,UY,-33.6971,-53.4616,54.68,83,54,4.68,broken clouds
105,Husavik,IS,66.0449,-17.3389,32.11,96,100,24.61,snow
106,Pyshma,RU,56.9523,63.2513,34.23,95,100,23.94,snow
107,Omsukchan,RU,62.5333,155.8,31.35,95,100,10.56,light snow
108,Sayat,TM,38.7839,63.8803,64.27,44,9,3.89,clear sky
109,Faanui,PF,-16.4833,-151.75,81.64,70,100,7.7,overcast clouds
110,Marechal Candido Rondon,BR,-24.5561,-54.0567,60.96,87,52,3.62,broken clouds
111,Kodiak,US,57.79,-152.4072,44.11,81,100,14.97,light rain
112,Zhigansk,RU,66.7697,123.3711,27.88,87,9,6.11,clear sky
113,Lorengau,PG,-2.0226,147.2712,84.25,76,23,6.26,few clouds
114,Cape Town,ZA,-33.9258,18.4232,57.11,86,68,2.42,broken clouds
115,Goianira,BR,-16.4961,-49.4264,69.62,73,11,2.48,few clouds
116,Beloha,MG,-25.1667,45.05,68.16,80,3,9.62,clear sky
117,Kloulklubed,PW,7.0419,134.2556,79.3,78,100,16.96,overcast clouds
118,Krotoszyn,PL,51.6987,17.4374,50.56,96,100,6.44,overcast clouds
119,Hambantota,LK,6.1241,81.1185,82.06,78,72,17.07,broken clouds
120,Pevek,RU,69.7008,170.3133,29.44,89,97,5.28,overcast clouds
121,Daur,PK,26.4583,68.3192,82.31,38,0,4.94,clear sky
122,Poum,NC,-20.2333,164.0167,77.58,76,2,5.39,clear sky
123,Khilchipur,IN,24.0333,76.5667,90.54,24,1,13.78,clear sky
124,Soyo,AO,-6.1349,12.3689,76.87,89,34,3.83,light rain
125,Provideniya,RU,64.3833,-173.3,30.36,80,20,2.24,few clouds
126,Bengkulu,ID,-3.8004,102.2655,82.49,71,82,1.07,broken clouds
127,Dali,CN,25.7,100.1833,65.93,55,20,2.55,few clouds
128,Tuatapere,NZ,-46.1333,167.6833,63.81,65,98,2.73,overcast clouds
129,Comarapa,BO,-17.9,-64.4833,48.25,94,4,1.79,clear sky
130,Thinadhoo,MV,0.5333,72.9333,83.66,75,100,12.24,overcast clouds
131,Ayagoz,KZ,47.9714,80.4392,61.38,54,0,6.89,clear sky
132,Hong Gai,VN,20.956,107.0946,80.51,63,11,4.0,few clouds
133,Skibbereen,IE,51.55,-9.2667,55.11,96,100,10.51,overcast clouds
134,Cap Malheureux,MU,-19.9842,57.6142,75.47,80,68,7.0,broken clouds
135,Tabat,ID,-2.635,115.2274,88.66,61,41,2.26,scattered clouds
136,Airai,TL,-8.9266,125.4092,70.27,74,58,3.31,broken clouds
137,Thompson,CA,55.7435,-97.8558,41.16,75,100,5.75,overcast clouds
138,Moron,AR,-34.6534,-58.6198,62.35,90,3,5.1,clear sky
139,Darhan,MN,49.4867,105.9228,45.03,25,88,5.39,overcast clouds
140,Acapulco,MX,16.8634,-99.8901,80.42,78,20,5.75,few clouds
141,Mount Gambier,AU,-37.8333,140.7667,54.64,82,92,10.6,overcast clouds
142,Tacuarembo,UY,-31.7333,-55.9833,52.97,89,0,2.68,clear sky
143,Tselinnoye,RU,53.0833,85.6667,57.43,34,55,4.23,broken clouds
144,Businga,CD,3.3333,20.8833,71.29,99,89,2.48,overcast clouds
145,Touros,BR,-5.1989,-35.4608,77.0,92,100,9.24,overcast clouds
146,Cabedelo,BR,-6.9811,-34.8339,77.67,82,100,11.34,overcast clouds
147,Bredasdorp,ZA,-34.5322,20.0403,56.8,94,10,5.08,clear sky
148,Bowen,AU,-20.0167,148.2333,79.38,72,76,7.09,broken clouds
149,Hobart,AU,-42.8794,147.3294,55.26,91,75,10.36,broken clouds
